Date,Station I (Central West Bay),Station II (East Bay),Station IV (Central Bay) ,Station V (Northern West Bay),Station VIII (South Bay) ,Station XV (San Pedro),Station XVI (Sta. Rosa),Station XVII (Sanctuary),Station XVIII (Pagsanjan) ,,mean 
Jan-16,0.093,0.114,0.12,0.233,0.195,0.104,0.077,0.088,0.105,,0.125444444
Feb-16,0.057,0.059,0.063,0.135,0.098,0.067,0.040,0.052,0.056,,0.069666667
Mar-16,0.021,0.004,0.006,0.037,0.001,0.030,0.003,0.016,0.007,,0.013888889
Apr-16,0.125,0.071,0.104,0.102,0.084,0.103,0.087,0.089,0.031,,0.088444444
May-16,0.147,0.037,0.103,0.164,0.077,0.069,0.067,0.066,0.004,,0.081555556
Jun-16,0.108,0.181,0.149,0.190,0.095,0.120,0.087,0.073,0.120,,0.124777778
Jul-16,0.134,0.179,0.147,0.048,0.143,0.176,0.074,0.134,0.001,,0.115111111
Aug-16,0.235,0.001,0.014,0.306,0.001,0.008,0.009,0.005,0.001,,0.064444444
Sep-16,0.134,0.011,0.039,0.145,0.045,0.072,0.036,0.061,0.007,,0.061111111
Oct-16,0.185,0.016,0.070,0.133,0.066,0.089,0.121,0.074,0.021,,0.086111111
Nov-16,0.031,0.051,0.251,0.258,0.258,0.208,0.168,0.244,0.222,,0.187888889
Dec-16,0.149,0.122,0.165,0.181,0.116,0.111,0.075,0.013,0.113,,0.116111111
Jan-17,0.087,0.084,0.072,0.181,0.101,0.108,0.088,0.057,0.066,,0.093777778
Feb-17,0.238,0.173,0.161,0.163,0.115,0.131,0.165,0.145,0.160,,0.161222222
Mar-17,0.069,0.049,0.088,0.098,0.076,0.079,0.066,0.072,0.023,,0.068888889
Apr-17,0.371,0.156,0.143,0.174,0.253,0.268,0.236,0.169,0.290,,0.228888889
May-17,0.288,0.062,0.067,0.427,0.096,0.020,0.078,0.088,0.071,,0.133
Jun-17,0.310,0.165,0.252,0.359,0.092,0.151,0.143,0.132,0.155,,0.195444444
Jul-17,0.110,0.170,0.310,0.370,0.060,0.106,0.120,0.150,0.150,,0.171777778
Aug-17,0.076,0.105,0.098,0.087,0.103,0.107,0.089,0.105,0.035,,0.089444444
Sep-17,0.154,0.099,0.128,0.241,0.168,0.235,0.352,0.252,0.041,,0.185555556
Oct-17,0.177,0.008,0.178,0.218,0.077,0.180,0.180,0.131,0.036,,0.131666667
Nov-17,0.208,0.031,0.167,0.194,0.100,0.111,0.077,0.107,0.020,,0.112777778
Dec-17,0.147,0.022,0.252,0.116,0.119,0.096,0.119,0.104,0.026,,0.111222222
Jan-18,0.175,0.095,0.147,0.172,0.197,0.133,0.153,0.129,0.133,,0.148222222
Feb-18,0.208,0.132,0.205,0.207,0.188,0.174,0.166,0.167,0.105,,0.172444444
Mar-18,0.231,0.138,0.173,0.152,0.141,0.140,0.118,0.168,0.142,,0.155888889
Apr-18,0.185,0.104,0.150,0.268,0.153,0.149,0.138,0.158,0.113,,0.157555556
May-18,0.135,0.104,0.184,0.245,0.130,0.142,0.116,0.115,0.090,,0.140111111
Jun-18,0.270,0.089,0.184,0.203,0.123,0.144,0.140,0.180,0.063,,0.155111111
Jul-18,0.111,0.087,0.104,0.129,0.805,0.090,0.082,0.088,0.047,,0.171444444
Aug-18,0.135,0.102,0.190,0.136,0.133,0.142,0.193,0.148,0.041,,0.135555556
Sep-18,0.061,0.062,0.137,0.076,0.102,0.078,0.078,0.078,0.025,,0.077444444
Oct-18,0.107,0.117,0.146,0.117,0.096,0.080,0.099,0.134,0.015,,0.101222222
Nov-18,0.081,0.077,0.080,0.039,0.120,0.079,0.083,0.061,0.023,,0.071444444
Dec-18,0.098,0.079,0.075,0.129,0.171,0.097,0.087,0.075,0.044,,0.095
Jan-19,0.110,0.110,0.110,0.090,0.190,0.090,0.150,0.050,0.100,,0.111111111
Feb-19,0.070,0.070,0.060,0.120,0.020,0.070,0.040,0.040,0.050,,0.06
Mar-19,0.080,0.050,0.060,0.110,0.050,0.050,0.050,0.070,0.020,,0.06
Apr-19,0.133,0.051,0.093,0.124,0.073,0.093,0.067,0.065,0.062,,0.084555556
May-19,0.134,0.108,0.109,0.288,0.093,0.163,0.085,0.076,0.098,,0.128222222
Jun-19,0.298,0.195,0.252,0.354,0.170,0.189,0.143,0.177,0.169,,0.216333333
Jul-19,0.329,0.131,0.318,0.307,0.178,0.150,0.122,0.209,0.048,,0.199111111
Aug-19,0.120,0.088,0.189,0.158,0.117,0.188,0.214,0.123,0.027,,0.136
Sep-19,0.122,0.039,0.089,0.093,0.078,0.087,0.075,0.064,0.019,,0.074
Oct-19,0.161,0.061,0.113,0.126,0.062,0.091,0.082,0.088,0.029,,0.090333333
Nov-19,0.091,0.053,0.133,0.102,0.095,0.094,0.069,0.089,0.017,,0.082555556
Dec-19,0.059,0.063,0.088,0.098,0.066,0.069,0.085,0.062,0.044,,0.070444444
Jan-20,0.038,0.062,0.067,0.067,0.056,0.069,0.063,0.083,0.074,,0.064333333
Feb-20,0.087,0.061,0.071,0.088,0.057,0.075,0.069,0.050,0.034,,0.065777778
Mar-20,0.055,0.095,0.032,0.065,0.032,0.046,0.050,0.024,0.017,,0.046222222
Apr-20,0.056,0.086,0.039,0.061,0.033,0.046,0.047,0.026,0.017,,0.0455
May-20,0.057,0.077,0.046,0.056,0.034,0.045,0.043,0.028,0.017,,0.044777778
Jun-20,0.058,0.068,0.053,0.052,0.035,0.045,0.040,0.030,0.018,,0.044055556
Jul-20,0.059,0.058,0.060,0.048,0.035,0.044,0.037,0.031,0.018,,0.043333333
Aug-20,0.060,0.049,0.067,0.043,0.036,0.044,0.033,0.033,0.018,,0.042611111
Sep-20,0.061,0.040,0.074,0.039,0.037,0.043,0.030,0.035,0.018,,0.041888889
Oct-20,0.065,0.049,0.097,0.093,0.044,0.041,0.042,0.068,0.040,,0.059888889
Nov-20,0.029,0.086,0.027,0.044,0.042,0.054,0.047,0.043,0.061,,0.048111111
Dec-20,0.066,0.083,0.064,0.077,0.029,0.048,0.081,0.041,0.063,,0.061333333
Jan-21,0.078,0.064,0.078,0.113,0.071,0.047,0.043,0.069,0.061,,0.069333333
Feb-21,0.060,0.038,0.053,0.094,0.044,0.054,0.055,0.054,0.057,,0.056555556
Mar-21,0.051,0.058,0.060,0.077,0.051,0.066,0.055,0.044,0.010,,0.052444444
Apr-21,0.063,0.056,0.081,0.079,0.051,0.062,0.067,0.044,0.016,,0.0575
May-21,0.074,0.054,0.102,0.081,0.051,0.058,0.078,0.044,0.021,,0.062555556
Jun-21,0.052,0.034,0.086,0.100,0.695,0.073,0.095,0.078,0.043,,0.139555556
Jul-21,0.110,0.069,0.151,0.137,0.084,0.137,0.114,0.102,0.075,,0.108777778
Aug-21,0.120,0.040,0.130,0.120,0.050,0.090,0.150,0.101,0.040,,0.093444444
Sep-21,0.030,0.060,0.090,0.120,0.080,0.150,0.100,0.100,0.010,,0.082222222
Oct-21,0.170,0.080,0.140,0.170,0.100,0.140,0.130,0.120,0.020,,0.118888889
Nov-21,0.180,0.130,0.180,0.160,0.150,0.160,0.170,0.180,0.080,,0.154444444
Dec-21,0.220,0.150,0.180,0.240,0.180,0.180,0.220,0.190,0.120,,0.186666667
Jan-22,0.215,0.196,0.195,0.207,0.125,0.140,0.180,0.180,0.110,,0.171777778
Feb-22,0.209,0.241,0.210,0.173,0.069,0.100,0.140,0.170,0.100,,0.156888889
Mar-22,0.140,0.100,0.140,0.170,0.100,0.160,0.130,0.130,0.050,,0.124444444
Apr-22,0.160,0.110,0.150,0.210,0.140,0.140,0.120,0.160,0.090,,0.142222222
May-22,0.140,0.120,0.160,0.160,0.130,0.130,0.130,0.150,0.065,,0.131666667
Jun-22,0.300,0.100,0.250,0.400,0.200,0.170,0.200,0.260,0.040,,0.213333333
Jul-22,0.280,0.130,0.330,0.420,0.280,0.200,0.210,0.280,0.020,,0.238888889
Aug-22,0.730,0.280,0.280,0.260,0.220,0.280,0.220,0.240,0.020,,0.281111111
Sep-22,0.140,0.050,0.150,0.180,0.150,0.230,0.150,0.050,0.120,,0.135555556
Oct-22,0.130,0.090,0.150,0.150,0.090,0.140,0.100,0.130,0.030,,0.112222222
